data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,operations/mediawiki-config,3,2012-06-04 01:47:44,0,3,12,2012-05-28 16:21:46,8,4
6-12-2012,operations/mediawiki-config,3,2012-06-04 01:47:44,0,3,12,2012-05-28 16:21:46,8,4
6-12-2012,operations/mediawiki-config,4,2012-06-06 07:53:02,0,4,5,2012-06-08 18:05:16,1,4
6-14-2012,operations/mediawiki-config,0,2030-01-01 00:00:00,0,0,3,2012-06-12 19:34:14,2,1
6-14-2012,operations/mediawiki-config,0,2030-01-01 00:00:00,0,0,3,2012-06-12 19:34:14,2,1
6-15-2012,operations/mediawiki-config,1,2012-06-12 19:34:14,0,1,0,2030-01-01 00:00:00,0,0
6-16-2012,operations/mediawiki-config,2,2012-06-12 19:34:14,0,2,1,2012-06-15 01:07:43,0,1
6-17-2012,operations/mediawiki-config,6,2012-06-12 19:34:14,0,6,1,2012-06-15 01:07:43,0,1
2012-06-18,operations/mediawiki-config,7,2012-06-12 19:34:14,0,7,6,2012-06-15 01:07:43,1,5
2012-06-19,operations/mediawiki-config,2,2012-06-12 19:34:14,0,2,3,2012-06-15 01:07:43,1,2
