date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/11/28,0,0,0,0,0,0,0,0
2012/11/29,0,0,0,0,0,13,14,1
2012/11/30,14,14,0,0,0,0,0,0
