date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/03/21,set([]),0,0,0,0,0,0,0,0
2012/03/22,set([3464L, 3465L, 3466L, 3467L]),5,0,4,4,0,0,0,0
2012/03/23,set([3464L, 3465L, 3466L, 3467L]),1,0,4,4,0,0,0,0
2012/03/24,set([3464L, 3465L, 3466L, 3467L]),0,0,1,1,0,3,3,0
2012/03/25,set([3464L, 3465L, 3466L, 3467L]),0,0,1,1,0,3,3,0
2012/03/26,set([3464L, 3465L, 3466L]),0,0,0,0,0,3,3,0
2012/03/27,set([3464L]),0,0,0,0,0,1,1,0
2012/03/28,set([3464L]),0,0,0,0,0,1,1,0
2012/03/29,set([3464L]),0,0,0,0,0,1,1,0
2012/03/30,set([]),0,0,0,0,0,0,0,0
2012/03/31,set([4040L, 4039L]),2,0,0,2,2,0,0,0
2012/04/01,set([4040L, 4052L, 4039L]),1,0,0,2,2,0,1,1
2012/04/02,set([4040L, 4052L, 4039L]),0,0,0,2,2,0,1,1
2012/04/03,set([4194L, 4039L]),1,0,0,2,2,0,0,0
2012/04/04,set([4194L, 4039L]),0,0,0,2,2,0,0,0
2012/04/05,set([4194L, 4039L]),0,0,0,2,2,0,0,0
2012/04/06,set([4194L, 4039L]),0,0,0,2,2,0,0,0
2012/04/07,set([4194L, 4039L]),0,0,0,2,2,0,0,0
2012/04/08,set([4194L, 4039L]),0,0,0,2,2,0,0,0
2012/04/09,set([4194L, 4039L]),0,0,0,2,2,0,0,0
2012/04/10,set([4194L, 4039L]),0,0,0,2,2,0,0,0
2012/04/11,set([4194L, 4694L, 4039L]),2,0,0,3,3,0,0,0
2012/04/12,set([4194L, 4773L, 4694L, 4039L]),1,0,0,3,3,0,1,1
2012/04/13,set([4849L, 4194L, 4773L, 4694L, 4039L]),1,0,0,4,4,0,1,1
2012/04/14,set([4849L, 4194L, 4773L, 4694L, 4039L]),0,0,0,4,4,0,1,1
2012/04/15,set([4849L, 4194L, 4773L, 4694L, 4039L]),0,0,0,4,4,0,1,1
2012/04/16,set([4849L, 4194L, 4773L, 4694L, 4039L]),1,0,0,4,4,0,1,1
2012/04/17,set([4849L, 4194L, 4773L, 4694L, 4039L]),0,0,0,4,4,0,1,1
2012/04/18,set([4849L, 4194L, 4773L, 4694L, 4039L]),0,0,0,4,4,0,1,1
2012/04/19,set([4849L, 4194L, 4773L, 4694L, 4039L]),2,0,0,4,4,0,1,1
2012/04/20,set([4194L, 4773L, 4039L, 4849L, 5428L, 4694L]),2,0,0,5,5,0,1,1
2012/04/21,set([4194L, 4773L, 4039L, 5548L, 5551L, 4849L, 5428L, 4694L]),2,0,0,7,7,0,1,1
2012/04/22,set([4194L, 4773L, 4039L, 5548L, 5551L, 4849L, 5428L, 4694L, 5553L]),2,0,0,8,8,0,1,1
2012/04/23,set([4194L, 4773L, 4039L, 5548L, 5551L, 4849L, 5428L, 4694L, 5553L]),1,0,0,8,8,0,1,1
2012/04/24,set([4194L, 4039L, 5548L, 5551L, 5553L, 5428L, 4694L]),1,0,0,7,7,0,0,0
2012/04/25,set([4194L, 4039L, 5548L, 5551L, 5553L, 5428L, 4694L]),1,0,0,7,7,0,0,0
2012/04/26,set([4194L, 4039L, 5548L, 5553L, 5428L, 4694L]),0,0,0,6,6,0,0,0
2012/04/27,set([4194L, 4039L, 6003L, 4694L, 6008L, 5949L, 5950L]),4,0,0,7,7,0,0,0
2012/04/28,set([4194L, 4039L, 6064L, 6003L, 6078L, 4694L, 6008L, 5949L, 5950L]),2,0,0,9,9,0,0,0
2012/04/29,set([4194L, 4039L, 6064L, 6003L, 6078L, 4694L, 6008L, 5949L, 5950L]),0,0,0,9,9,0,0,0
2012/04/30,set([4039L, 6064L, 6003L, 6078L, 4694L, 6008L, 5949L, 5950L]),1,0,0,8,8,0,0,0
