date,commits,self_review,time_first_review_staff,time_first_review_total,time_first_review_volunteer,time_plus2_staff,time_plus2_total,time_plus2_volunteer
2012/01/24,1,0,0,0,0,0,0,0
2012/01/27,1,0,0,0,0,1,1,0
2012/02/01,6,6,1,1,0,0,0,0
2012/02/02,4,4,4,4,0,0,0,0
2012/02/06,0,0,0,0,0,2,2,0
2012/02/10,5,5,0,0,0,0,0,0
2012/02/13,2,2,2,2,0,0,0,0
2012/02/16,1,1,0,0,0,0,0,0
2012/02/17,0,0,0,0,0,1,1,0
2012/02/22,1,1,0,0,0,0,0,0
2012/02/23,0,0,0,0,0,1,1,0
2012/02/29,1,0,0,0,0,0,0,0
2012/03/15,2,1,0,0,0,1,1,0
2012/04/02,2,2,0,0,0,0,0,0
2012/04/03,5,5,0,0,0,0,0,0
2012/05/07,2,2,0,0,0,0,0,0
2012/05/14,1,0,0,0,0,0,0,0
2012/05/15,1,0,0,0,0,0,0,0
2012/05/21,3,1,0,0,0,0,0,0
2012/06/02,1,1,1,1,0,0,0,0
2012/07/12,3,0,0,0,0,0,0,0
2012/07/13,4,0,0,0,0,0,0,0
2012/07/16,2,0,0,0,0,0,0,0
2012/07/18,2,0,0,0,0,0,0,0
2012/01/24,1,0,0,0,0,0,0,0
2012/01/27,1,0,0,0,0,1,1,0
2012/02/01,6,6,1,1,0,0,0,0
2012/02/02,4,4,4,4,0,0,0,0
2012/02/06,0,0,0,0,0,2,2,0
2012/02/10,5,5,0,0,0,0,0,0
2012/02/13,2,2,2,2,0,0,0,0
2012/02/16,1,1,0,0,0,0,0,0
2012/02/17,0,0,0,0,0,1,1,0
2012/02/22,1,1,0,0,0,0,0,0
2012/02/23,0,0,0,0,0,1,1,0
2012/02/29,1,0,0,0,0,0,0,0
2012/03/15,2,1,0,0,0,1,1,0
2012/04/02,2,2,0,0,0,0,0,0
2012/04/03,5,5,0,0,0,0,0,0
2012/05/07,2,2,0,0,0,0,0,0
2012/05/14,1,0,0,0,0,0,0,0
2012/05/15,1,0,0,0,0,0,0,0
2012/05/21,3,1,0,0,0,0,0,0
2012/06/02,1,1,1,1,0,0,0,0
2012/07/12,3,0,0,0,0,0,0,0
2012/07/13,4,0,0,0,0,0,0,0
2012/07/16,2,0,0,0,0,0,0,0
2012/07/18,2,0,0,0,0,0,0,0
