date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/04/17,0,0,0,0,0,0,0,0
2012/04/18,1,0,0,0,0,2,2,0
2012/04/19,3,0,0,0,0,5,5,0
2012/04/20,6,0,1,1,0,0,0,0
2012/04/21,1,0,1,1,0,0,1,1
2012/04/22,0,0,1,1,0,0,0,0
2012/04/23,0,0,1,1,0,0,0,0
2012/04/24,3,0,3,3,0,1,1,0
2012/04/25,2,0,4,5,1,0,0,0
2012/04/26,1,0,5,6,1,0,0,0
2012/04/27,2,0,6,7,1,1,1,0
2012/04/28,3,1,8,9,1,0,0,0
2012/04/29,0,0,8,9,1,0,0,0
2012/04/30,0,0,8,9,1,10,11,1
2012/05/01,7,0,2,2,0,16,16,0
2012/05/02,17,2,4,4,0,2,4,2
2012/05/03,5,0,4,4,0,2,3,1
2012/05/04,3,0,5,5,0,0,0,0
2012/05/05,0,0,5,5,0,0,0,0
2012/05/06,0,0,5,5,0,4,4,0
2012/05/07,3,1,4,4,0,0,0,0
2012/05/08,3,0,5,5,0,0,0,0
2012/05/09,2,0,6,6,0,0,2,2
2012/05/10,8,0,9,9,0,4,5,1
2012/05/11,2,0,8,8,0,0,1,1
2012/05/12,2,0,9,9,0,0,0,0
2012/05/13,0,0,9,9,0,8,8,0
2012/05/14,2,0,2,2,0,2,2,0
2012/05/15,2,0,2,2,0,2,3,1
2012/05/16,5,0,4,4,0,3,4,1
2012/05/17,6,0,4,4,0,4,5,1
2012/05/18,2,0,3,3,0,0,0,0
2012/05/19,1,0,3,4,1,0,0,0
2012/05/20,0,0,3,4,1,5,6,1
2012/05/21,5,4,3,3,0,6,7,1
2012/05/22,6,2,0,0,0,1,2,1
2012/05/23,4,0,1,1,0,4,4,0
2012/05/24,5,1,2,2,0,2,2,0
2012/05/25,2,0,2,3,1,0,0,0
2012/05/26,0,0,2,3,1,0,0,0
2012/05/27,0,0,2,3,1,0,0,0
2012/05/28,0,0,2,3,1,1,3,2
2012/05/29,6,0,3,5,2,1,1,0
2012/05/30,1,0,3,5,2,3,3,0
2012/05/31,3,0,3,5,2,3,8,5
2012/06/01,7,2,2,2,0,0,1,1
2012/06/02,1,0,2,2,0,0,1,1
2012/06/03,1,0,2,2,0,0,0,0
2012/06/04,0,0,2,2,0,4,4,0
2012/06/05,11,2,3,9,6,1,1,0
2012/06/06,1,1,3,9,6,2,3,1
2012/06/07,7,0,2,7,5,0,12,12
2012/06/08,2,0,2,2,0,3,3,0
2012/06/09,3,0,3,3,0,0,0,0
2012/06/10,0,0,2,2,0,0,1,1
2012/06/11,3,0,2,2,0,4,4,0
2012/06/12,3,0,3,3,0,2,2,0
2012/06/13,3,1,3,3,0,3,4,1
2012/06/14,2,0,1,1,0,0,0,0
2012/06/15,0,0,1,1,0,0,0,0
2012/06/16,0,0,1,1,0,0,0,0
2012/06/17,0,0,1,1,0,0,0,0
2012/06/18,0,0,1,1,0,0,0,0
2012/06/19,0,0,1,1,0,3,4,1
2012/06/20,4,1,1,1,0,0,1,1
2012/06/21,2,0,1,1,0,2,3,1
2012/06/22,1,0,0,0,0,1,2,1
2012/06/23,3,1,1,1,0,0,1,1
2012/06/24,1,0,1,1,0,0,0,0
2012/06/25,1,0,2,2,0,0,0,0
2012/06/26,0,0,2,2,0,1,2,1
2012/06/27,4,0,1,1,0,6,7,1
2012/06/28,5,0,0,0,0,1,2,1
2012/06/29,4,1,2,2,0,0,0,0
2012/06/30,3,0,3,3,0,0,1,1
2012/07/01,1,0,3,3,0,0,0,0
2012/07/02,0,0,3,3,0,0,1,1
2012/07/03,3,0,4,4,0,1,2,1
2012/07/04,2,0,5,5,0,0,1,1
2012/07/05,2,1,6,6,0,4,5,1
2012/07/06,2,0,3,3,0,0,1,1
2012/07/07,2,0,4,4,0,0,1,1
2012/07/08,1,0,4,4,0,1,2,1
2012/07/09,3,0,4,4,0,3,4,1
2012/07/10,3,0,4,4,0,0,2,2
2012/07/11,3,0,5,5,0,0,0,0
2012/07/12,0,0,5,5,0,0,0,0
2012/07/13,0,0,5,5,0,0,0,0
2012/07/14,0,0,5,5,0,0,0,0
2012/07/15,0,0,5,5,0,0,0,0
2012/07/16,2,0,7,7,0,2,2,0
2012/07/17,3,0,7,7,0,2,2,0
2012/07/18,2,0,7,7,0,9,9,0
2012/07/19,6,0,4,4,0,3,3,0
2012/07/20,1,0,3,3,0,1,1,0
2012/07/21,0,0,2,2,0,0,0,0
2012/07/22,0,0,2,2,0,1,2,1
2012/07/23,3,0,2,2,0,5,5,0
2012/07/24,7,2,5,5,0,0,1,1
2012/07/25,4,0,6,6,0,3,3,0
2012/07/26,2,0,4,4,0,7,7,0
2012/07/27,5,0,4,4,0,1,1,0
2012/07/28,0,0,4,4,0,1,1,0
2012/07/29,0,0,4,4,0,1,1,0
2012/07/30,4,0,8,8,0,3,3,0
2012/07/31,2,0,7,7,0,5,6,1
2012/08/01,6,0,8,8,0,4,4,0
2012/08/02,1,0,6,6,0,4,5,1
2012/08/03,1,0,3,3,0,2,2,0
2012/08/04,1,0,3,3,0,1,2,1
2012/08/05,1,0,3,3,0,1,2,1
2012/08/06,3,0,3,3,0,2,3,1
2012/08/07,10,2,3,3,0,12,13,1
2012/08/08,6,2,1,1,0,6,8,2
2012/08/09,8,0,0,0,0,0,2,2
2012/08/10,2,0,1,1,0,0,2,2
2012/08/11,2,0,1,1,0,0,1,1
2012/08/12,1,0,1,1,0,0,1,1
2012/08/13,5,0,1,1,0,9,10,1
2012/08/14,7,0,1,1,0,2,3,1
2012/08/15,7,0,1,1,0,8,9,1
2012/08/16,5,1,2,2,0,0,1,1
2012/08/17,2,0,3,3,0,0,0,0
2012/08/18,0,0,3,3,0,0,1,1
2012/08/19,1,0,3,3,0,1,2,1
2012/08/20,2,0,3,3,0,0,1,1
2012/08/21,4,0,5,5,0,6,7,1
