date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/09/02,0,0,0,0,0,0,0,0
2012/09/03,0,0,0,0,0,0,22,22
2012/09/04,22,22,0,0,0,0,0,0
2012/09/05,0,0,0,0,0,0,0,0
2012/09/06,0,0,0,0,0,0,0,0
2012/09/07,0,0,0,0,0,0,0,0
2012/09/08,0,0,0,0,0,0,0,0
2012/09/09,0,0,0,0,0,0,0,0
2012/09/10,0,0,0,0,0,0,0,0
2012/09/11,0,0,0,0,0,0,0,0
2012/09/12,0,0,0,0,0,0,0,0
2012/09/13,0,0,0,0,0,0,0,0
2012/09/14,0,0,0,0,0,0,0,0
2012/09/15,0,0,0,0,0,0,0,0
2012/09/16,0,0,0,0,0,0,0,0
2012/09/17,0,0,0,0,0,0,0,0
2012/09/18,0,0,0,0,0,0,4,4
2012/09/19,4,4,0,0,0,0,0,0
2012/09/20,0,0,0,0,0,0,2,2
2012/09/21,2,2,0,0,0,0,0,0
2012/09/22,0,0,0,0,0,0,1,1
2012/09/23,1,1,0,0,0,0,0,0
2012/09/24,0,0,0,0,0,0,0,0
2012/09/25,0,0,0,0,0,0,0,0
2012/09/26,0,0,0,0,0,0,0,0
2012/09/27,0,0,0,0,0,0,0,0
2012/09/28,0,0,0,0,0,0,0,0
2012/09/29,0,0,0,0,0,0,1,1
2012/09/30,1,1,0,0,0,0,0,0
2012/10/01,0,0,0,0,0,0,0,0
2012/10/02,0,0,0,0,0,0,3,3
2012/10/03,3,3,0,0,0,0,1,1
2012/10/04,1,1,0,0,0,0,2,2
2012/10/05,2,2,0,0,0,0,4,4
2012/10/06,4,4,0,0,0,0,1,1
