data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,mediawiki/extensions/Math,0,2030-01-01 00:00:00,0,0,3,2012-06-02 09:42:20,0,3
6-12-2012,mediawiki/extensions/Math,0,2030-01-01 00:00:00,0,0,3,2012-06-02 09:42:20,0,3
6-12-2012,mediawiki/extensions/Math,0,2030-01-01 00:00:00,0,0,3,2012-06-02 09:42:20,0,3
6-14-2012,mediawiki/extensions/Math,1,2012-06-02 09:46:57,0,1,1,2012-06-08 18:12:12,0,1
6-14-2012,mediawiki/extensions/Math,1,2012-06-02 09:46:57,0,1,1,2012-06-08 18:12:12,0,1
6-15-2012,mediawiki/extensions/Math,1,2012-06-02 09:46:57,0,1,1,2012-06-08 18:12:12,0,1
6-16-2012,mediawiki/extensions/Math,1,2012-06-02 09:46:57,0,1,1,2012-06-08 18:12:12,0,1
6-17-2012,mediawiki/extensions/Math,1,2012-06-02 09:46:57,0,1,1,2012-06-08 18:12:12,0,1
2012-06-18,mediawiki/extensions/Math,1,2012-06-02 09:46:57,0,1,1,2012-06-08 18:12:12,0,1
2012-06-19,mediawiki/extensions/Math,1,2012-06-02 09:46:57,0,1,1,2012-06-08 18:12:12,0,1
