date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/10/21,0,0,0,0,0,0,0,0
2012/10/22,3,3,0,0,0,3,3,0
2012/10/23,0,0,0,0,0,0,1,1
2012/10/24,2,0,0,0,0,1,2,1
2012/10/25,1,0,0,0,0,0,1,1
2012/10/26,2,0,1,1,0,0,0,0
2012/10/27,3,0,4,4,0,0,1,1
2012/10/28,3,0,5,5,0,0,1,1
2012/10/29,1,0,5,5,0,2,3,1
2012/10/30,2,1,1,1,0,1,2,1
2012/10/31,2,1,1,1,0,0,0,0
2012/11/01,0,0,1,1,0,1,2,1
2012/11/02,3,2,2,2,0,0,0,0
2012/11/03,0,0,2,2,0,0,1,1
2012/11/04,1,0,2,2,0,0,0,0
2012/11/05,0,0,2,2,0,0,0,0
2012/11/06,0,0,2,2,0,1,1,0
2012/11/07,0,0,1,1,0,0,0,0
2012/11/08,0,0,1,1,0,0,1,1
2012/11/09,1,0,1,1,0,1,1,0
2012/11/10,2,2,2,2,0,0,1,1
2012/11/11,1,0,2,2,0,0,0,0
2012/11/12,0,0,2,2,0,2,2,0
2012/11/13,3,1,3,3,0,1,1,0
2012/11/14,1,0,2,2,0,2,2,0
2012/11/15,2,2,3,3,0,4,5,1
2012/11/16,5,3,3,3,0,0,1,1
2012/11/17,1,0,3,3,0,0,0,0
2012/11/18,0,0,3,3,0,4,4,0
2012/11/19,4,3,2,2,0,2,2,0
2012/11/20,2,1,2,2,0,1,1,0
2012/11/21,2,1,3,3,0,0,0,0
2012/11/22,2,2,4,4,0,1,1,0
2012/11/23,0,0,4,4,0,0,0,0
2012/11/24,2,2,5,5,0,0,0,0
2012/11/25,0,0,5,5,0,0,0,0
2012/11/26,2,0,6,6,0,3,3,0
2012/11/27,2,2,5,5,0,7,8,1
2012/11/28,4,1,1,1,0,6,7,1
