data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,mediawiki/extensions/ArticleFeedbackv5,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-12-2012,mediawiki/extensions/ArticleFeedbackv5,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-12-2012,mediawiki/extensions/ArticleFeedbackv5,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-14-2012,mediawiki/extensions/ArticleFeedbackv5,0,2030-01-01 00:00:00,0,0,2,2012-06-14 13:32:52,2,0
6-14-2012,mediawiki/extensions/ArticleFeedbackv5,0,2030-01-01 00:00:00,0,0,5,2012-06-14 13:32:52,3,2
6-15-2012,mediawiki/extensions/ArticleFeedbackv5,0,2030-01-01 00:00:00,0,0,5,2012-06-14 13:32:52,3,2
6-16-2012,mediawiki/extensions/ArticleFeedbackv5,0,2030-01-01 00:00:00,0,0,6,2012-06-14 13:32:52,4,2
6-17-2012,mediawiki/extensions/ArticleFeedbackv5,1,2012-06-14 13:32:52,1,0,5,2012-06-14 16:17:30,3,2
2012-06-18,mediawiki/extensions/ArticleFeedbackv5,0,2030-01-01 00:00:00,0,0,3,2012-06-14 16:17:30,2,1
2012-06-19,mediawiki/extensions/ArticleFeedbackv5,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
