data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,mediawiki/extensions/UploadWizard,2,2012-06-03 10:51:01,0,2,30,2012-03-27 13:57:12,2,28
6-12-2012,mediawiki/extensions/UploadWizard,2,2012-06-03 10:51:01,0,2,30,2012-03-27 13:57:12,2,28
6-12-2012,mediawiki/extensions/UploadWizard,1,2012-06-03 15:29:17,0,1,29,2012-03-27 13:57:12,2,27
6-14-2012,mediawiki/extensions/UploadWizard,1,2012-06-03 15:29:17,0,1,29,2012-03-27 13:57:12,2,27
6-14-2012,mediawiki/extensions/UploadWizard,1,2012-06-03 15:29:17,0,1,29,2012-03-27 13:57:12,2,27
6-15-2012,mediawiki/extensions/UploadWizard,2,2012-05-28 17:58:50,0,2,26,2012-03-27 13:57:12,2,24
6-16-2012,mediawiki/extensions/UploadWizard,2,2012-05-28 17:58:50,0,2,26,2012-03-27 13:57:12,2,24
6-17-2012,mediawiki/extensions/UploadWizard,2,2012-05-28 17:58:50,0,2,26,2012-03-27 13:57:12,2,24
2012-06-18,mediawiki/extensions/UploadWizard,2,2012-05-28 17:58:50,0,2,26,2012-03-27 13:57:12,2,24
2012-06-19,mediawiki/extensions/UploadWizard,2,2012-05-28 17:58:50,0,2,26,2012-03-27 13:57:12,2,24
