data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,mediawiki/extensions/TimedMediaHandler,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-12-2012,mediawiki/extensions/TimedMediaHandler,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-12-2012,mediawiki/extensions/TimedMediaHandler,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-14-2012,mediawiki/extensions/TimedMediaHandler,0,2030-01-01 00:00:00,0,0,0,2030-01-01 00:00:00,0,0
6-14-2012,mediawiki/extensions/TimedMediaHandler,0,2030-01-01 00:00:00,0,0,3,2012-06-14 19:14:20,3,0
6-15-2012,mediawiki/extensions/TimedMediaHandler,0,2030-01-01 00:00:00,0,0,7,2012-06-15 06:02:43,6,1
6-16-2012,mediawiki/extensions/TimedMediaHandler,0,2030-01-01 00:00:00,0,0,6,2012-06-15 06:02:43,5,1
6-17-2012,mediawiki/extensions/TimedMediaHandler,0,2030-01-01 00:00:00,0,0,6,2012-06-15 06:02:43,5,1
2012-06-18,mediawiki/extensions/TimedMediaHandler,1,2012-06-15 11:17:51,0,1,5,2012-06-15 06:02:43,5,0
2012-06-19,mediawiki/extensions/TimedMediaHandler,1,2012-06-15 11:17:51,0,1,5,2012-06-15 06:02:43,5,0
