data,repository,only+1_total,only+1_oldest,only+1_wikimedian,only+1_volunteer,no_review_total,no_review_oldest,no_review_wikimedian,no_review_volunteer
6-12-2012,mediawiki/core,14,2012-04-17 17:09:55,4,10,89,2012-03-22 04:39:25,33,56
6-12-2012,mediawiki/core,14,2012-04-17 17:09:55,4,10,89,2012-03-22 04:39:25,33,56
6-12-2012,mediawiki/core,15,2012-04-17 17:09:55,4,11,85,2012-03-22 04:39:25,31,54
6-14-2012,mediawiki/core,13,2012-04-30 10:48:45,2,11,81,2012-03-22 04:39:25,33,48
6-14-2012,mediawiki/core,14,2012-04-30 10:48:45,3,11,76,2012-03-22 04:39:25,31,45
6-15-2012,mediawiki/core,15,2012-04-17 17:09:55,6,9,67,2012-03-22 04:39:25,22,45
6-16-2012,mediawiki/core,14,2012-04-30 10:48:45,4,10,74,2012-03-22 04:39:25,28,46
6-17-2012,mediawiki/core,13,2012-04-30 10:48:45,4,9,81,2012-03-22 04:39:25,28,53
2012-06-18,mediawiki/core,15,2012-04-14 06:48:21,5,10,84,2012-03-22 04:39:25,30,54
2012-06-19,mediawiki/core,13,2012-04-14 06:48:21,4,9,72,2012-03-22 04:39:25,28,44
